datetime|datetime_friendly|prop28|prop31|prop16|prop8|event101
2021-04-28|Wed. 28 Apr. 2021|::unspecified::|Android|::unspecified::|healthDataUpdates|89
2021-04-28|Wed. 28 Apr. 2021|::unspecified::|Android|::unspecified::|rewards|10
2021-04-28|Wed. 28 Apr. 2021|::unspecified::|Android|::unspecified::|::unspecified::|8
2021-04-28|Wed. 28 Apr. 2021|::unspecified::|Android|"Combate à COVID-19|none|Neste momento da pandemia, a colaboração individual e coletiva é essenci"|none|17
2021-04-28|Wed. 28 Apr. 2021|::unspecified::|Android|"Take the First Step|none|This challenge ends soon. Make sure you track!"|challengeEnding|3
2021-04-28|Wed. 28 Apr. 2021|::unspecified::|Android|"Walk at Lunch Day Challenge has now started.|none|Start Tracking!"|challenges|1
2021-04-28|Wed. 28 Apr. 2021|::unspecified::|Android|"Walk at Lunch Day Challenge|none|This challenge ends soon. Make sure you track!"|challengeEnding|1
2021-04-28|Wed. 28 Apr. 2021|::unspecified::|::unspecified::|::unspecified::|healthDataUpdates|8
2021-04-28|Wed. 28 Apr. 2021|::unspecified::|::unspecified::|"Combate à COVID-19|none|Neste momento da pandemia, a colaboração individual e coletiva é essenci"|none|1
2021-04-28|Wed. 28 Apr. 2021|7985e0de-ec51-428c-ae66-64756aac1cab|iOS|"title EN-US||body EN-US"|insights|69
2021-04-28|Wed. 28 Apr. 2021|7985e0de-ec51-428c-ae66-64756aac1cab|iOS|::unspecified::|rewards|4
2021-04-28|Wed. 28 Apr. 2021|7985e0de-ec51-428c-ae66-64756aac1cab|iOS|"Way to go!||Find out what you just earned for completing a healthy activity"|rewards|2
2021-04-28|Wed. 28 Apr. 2021|fe03fc7b-cc47-4b2a-9c5e-8a6fdeb37ec2|iOS|"Congratulations!||See what you just earned."|insights|27
2021-04-28|Wed. 28 Apr. 2021|fe03fc7b-cc47-4b2a-9c5e-8a6fdeb37ec2|iOS|"Hi||EN click it"|dailyReminder|1
2021-04-28|Wed. 28 Apr. 2021|0fc8371f-66f5-464e-9d5f-6a12892e8561|Android|"Congratulations!|none|See what you just earned."|insights|17
2021-04-28|Wed. 28 Apr. 2021|c7fe9acf-ba48-4dd3-a33a-5958bea1f8eb|Android|::unspecified::|rewards|8
2021-04-28|Wed. 28 Apr. 2021|c7fe9acf-ba48-4dd3-a33a-5958bea1f8eb|Android|::unspecified::|healthDataUpdates|1
2021-04-28|Wed. 28 Apr. 2021|e205aef8-7cd6-49cc-839e-d6907bac9822|Android|::unspecified::|rewards|6
2021-04-28|Wed. 28 Apr. 2021|82bea524-b26a-43d4-95b9-f9326d892280|Android|"Congratulations!|none|See what you just earned."|insights|5
2021-04-28|Wed. 28 Apr. 2021|b13e2901-bdad-45d9-aa0b-f7b3e11dc4cb|Android|::unspecified::|rewards|5
2021-04-28|Wed. 28 Apr. 2021|6f693d7c-a93c-43fe-b54c-f5cf58a77d05|Android|::unspecified::|rewards|5
